index,title,year,published,district,url
137,Lane Cove 2019,2019,2019-03-23,Lane Cove,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Lane%20Cove.zip
138,Lismore 2019,2019,2019-03-23,Lismore,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Lismore.zip
139,Liverpool 2019,2019,2019-03-23,Liverpool,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Liverpool.zip
140,Londonderry 2019,2019,2019-03-23,Londonderry,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Londonderry.zip
141,Macquarie Fields 2019,2019,2019-03-23,Macquarie Fields,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Macquarie%20Fields.zip
142,Maitland 2019,2019,2019-03-23,Maitland,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Maitland.zip
143,Manly 2019,2019,2019-03-23,Manly,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Manly.zip
144,Maroubra 2019,2019,2019-03-23,Maroubra,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Maroubra.zip
145,Miranda 2019,2019,2019-03-23,Miranda,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Miranda.zip
146,Monaro 2019,2019,2019-03-23,Monaro,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Monaro.zip
147,Mount Druitt 2019,2019,2019-03-23,Mount Druitt,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Mount%20Druitt.zip
148,Mulgoa 2019,2019,2019-03-23,Mulgoa,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Mulgoa.zip
149,Murray 2019,2019,2019-03-23,Murray,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Murray.zip
150,Myall Lakes 2019,2019,2019-03-23,Myall Lakes,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Myall%20Lakes.zip
151,Newcastle 2019,2019,2019-03-23,Newcastle,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Newcastle.zip
152,Newtown 2019,2019,2019-03-23,Newtown,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Newtown.zip
153,North Shore 2019,2019,2019-03-23,North Shore,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20North%20Shore.zip
154,Northern Tablelands 2019,2019,2019-03-23,Northern Tablelands,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Northern%20Tablelands.zip
155,Oatley 2019,2019,2019-03-23,Oatley,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Oatley.zip
156,Orange 2019,2019,2019-03-23,Orange,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Orange.zip
157,Oxley 2019,2019,2019-03-23,Oxley,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Oxley.zip
158,Parramatta 2019,2019,2019-03-23,Parramatta,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Parramatta.zip
